id,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
263,2000010100,Sodium Chloride Prefilled Syringe,Drug,MIMIC-IV,Prescription Drug,NA,Syringe (0.9% Sodium Chloride) 1 Syringe,1970-01-01,2099-12-31,NA
280,2000010199,Phenylephrine,Drug,MIMIC-IV,Prescription Drug,NA,Phenylephrine HCl 100mcg/ml,1970-01-01,2099-12-31,NA
281,2000010350,Acetaminophen,Drug,MIMIC-IV,Prescription Drug,NA,ACETAMINOPHEN (LIQUID),1970-01-01,2099-12-31,NA
307,2000010305,Hydromorphone,Drug,MIMIC-IV,Prescription Drug,NA,Hydromorphone P.F. 1000mcg/1mL Amp,1970-01-01,2099-12-31,NA
312,2000011362,Calcium Gluconate Bag,Drug,MIMIC-IV,Prescription Drug,NA,Calcium Gluconate Bag,1970-01-01,2099-12-31,NA
316,2000011194,Aspirin,Drug,MIMIC-IV,Prescription Drug,NA,Aspirin,1970-01-01,2099-12-31,NA
322,2000010085,Epinephrine,Drug,MIMIC-IV,Prescription Drug,NA,EPINEPHrine,1970-01-01,2099-12-31,NA
330,2000010354,Baclofen,Drug,MIMIC-IV,Prescription Drug,NA,Baclofen 4000 mcg/ml,1970-01-01,2099-12-31,NA
331,2000010476,Morphine,Drug,MIMIC-IV,Prescription Drug,NA,MORPHINE SULFATE,1970-01-01,2099-12-31,NA
335,2000010032,Ampicillin,Drug,MIMIC-IV,Prescription Drug,NA,Ampicillin Sodium 2g Vial,1970-01-01,2099-12-31,NA
336,2000011225,Thrombin,Drug,MIMIC-IV,Prescription Drug,NA,"Thrombin 10,000 units",1970-01-01,2099-12-31,NA
345,2000010587,Metformin,Drug,MIMIC-IV,Prescription Drug,NA,METFORMIN XR TABLET,1970-01-01,2099-12-31,NA
348,2000011050,Sodium Chloride Prefilled Syringe,Drug,MIMIC-IV,Prescription Drug,NA,Sodium Chloride Syringe,1970-01-01,2099-12-31,NA
357,2000010955,Octreotide,Drug,MIMIC-IV,Prescription Drug,NA,Octreotide Acetate 100mcg/mL-1mL,1970-01-01,2099-12-31,NA
360,2000010457,Nitroglycerin,Drug,MIMIC-IV,Prescription Drug,NA,Nitroglycerin 100MG/250 PM,1970-01-01,2099-12-31,NA
378,2000010323,Amiodarone,Drug,MIMIC-IV,Prescription Drug,NA,AMIODARONE,1970-01-01,2099-12-31,NA
383,2000010924,Acetaminophen,Drug,MIMIC-IV,Prescription Drug,NA,Acetaminophen (Rectal),1970-01-01,2099-12-31,NA
388,2000011390,Nitroglycerin 20mL Syringe,Drug,MIMIC-IV,Prescription Drug,NA,Nitroglycerin 20mL Syringe,1970-01-01,2099-12-31,NA
395,2000011372,Filgrastim-sndz Syringe,Drug,MIMIC-IV,Prescription Drug,NA,Filgrastim-sndz Syringe,1970-01-01,2099-12-31,NA
403,2000011074,Racepinephrine,Drug,MIMIC-IV,Prescription Drug,NA,Racepinephrine,1970-01-01,2099-12-31,NA
407,2000010191,Sodium Chloride Prefilled Syringe,Drug,MIMIC-IV,Prescription Drug,NA,Sodium Chloride 0.45% Flush 3 mL Syringe,1970-01-01,2099-12-31,NA
408,2000010718,polydextrose,Drug,MIMIC-IV,Prescription Drug,NA,DEXTROSE 50%,1970-01-01,2099-12-31,NA
412,2000010294,Vancomycin,Drug,MIMIC-IV,Prescription Drug,NA,vancoMYCIN for nasal inhalation 200 mg / 2 mL,1970-01-01,2099-12-31,NA
424,2000010087,Phenylephrine,Drug,MIMIC-IV,Prescription Drug,NA,Phenylephrine 2.5% opth 2.5%,1970-01-01,2099-12-31,NA
433,2000011356,10 mL Syringe,Drug,MIMIC-IV,Prescription Drug,NA,10 mL Syringe,1970-01-01,2099-12-31,NA
441,2000011176,Epinephrine,Drug,MIMIC-IV,Prescription Drug,NA,Epinephrine,1970-01-01,2099-12-31,NA
443,2000010577,Calcium Chloride,Drug,MIMIC-IV,Prescription Drug,NA,Calcium Chloride,1970-01-01,2099-12-31,NA
450,2000010660,Nimodipine,Drug,MIMIC-IV,Prescription Drug,NA,Nimodipine 1 Syringe,1970-01-01,2099-12-31,NA
451,2000010738,Lidocaine,Drug,MIMIC-IV,Prescription Drug,NA,Lidocaine 2%,1970-01-01,2099-12-31,NA
453,2000011354,Methylphenidate,Drug,MIMIC-IV,Prescription Drug,NA,methylphenidate SR  20 mg,1970-01-01,2099-12-31,NA
456,2000011387,Magnesium Sulfate Replacement (Oncology) 50 mL Bag,Drug,MIMIC-IV,Prescription Drug,NA,Magnesium Sulfate Replacement (Oncology) 50 mL Bag,1970-01-01,2099-12-31,NA
458,2000010132,Morphine,Drug,MIMIC-IV,Prescription Drug,NA,Morphine,1970-01-01,2099-12-31,NA
487,2000011241,Menthol,Drug,MIMIC-IV,Prescription Drug,NA,menthol (Icy Hot Patch) 5 %,1970-01-01,2099-12-31,NA
489,2000011117,Calcium,Drug,MIMIC-IV,Prescription Drug,NA,Calcium Replacement (Oncology),1970-01-01,2099-12-31,NA
490,2000011300,Fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray,Drug,MIMIC-IV,Prescription Drug,NA,"Fluticasone 50 mcg/Actuation Nasal Spray, Susp",1970-01-01,2099-12-31,NA
491,2000010443,Hydromorphone,Drug,MIMIC-IV,Prescription Drug,NA,HYDROMORPHONE,1970-01-01,2099-12-31,NA
492,2000010315,Mannitol,Drug,MIMIC-IV,Prescription Drug,NA,Mannitol 500ML PREMIX,1970-01-01,2099-12-31,NA
497,2000010566,Norepinephrine,Drug,MIMIC-IV,Prescription Drug,NA,NORepinephrine,1970-01-01,2099-12-31,NA
500,2000010937,Octreotide,Drug,MIMIC-IV,Prescription Drug,NA,Octreotide Acetate,1970-01-01,2099-12-31,NA
503,2000011026,Phenylephrine,Drug,MIMIC-IV,Prescription Drug,NA,PHENYLEPHrine,1970-01-01,2099-12-31,NA
506,2000010433,Calcium Gluconate,Drug,MIMIC-IV,Prescription Drug,NA,CALCIUM GLUCONATE,1970-01-01,2099-12-31,NA
507,2000011365,CefTAZidime Send Vial,Drug,MIMIC-IV,Prescription Drug,NA,CefTAZidime Send Vial,1970-01-01,2099-12-31,NA
512,2000010238,thrombin,Drug,MIMIC-IV,Prescription Drug,NA,Thrombin 5000 units/5 ml,1970-01-01,2099-12-31,NA
515,2000011265,Potassium,Drug,MIMIC-IV,Prescription Drug,NA,Potassium Phosphate 3mmol/ml-50ml,1970-01-01,2099-12-31,NA
520,2000010037,Vasopressin (USP),Drug,MIMIC-IV,Prescription Drug,NA,Vasopressin,1970-01-01,2099-12-31,NA
526,2000011378,Insulin Dummy Package for Sliding Scale,Drug,MIMIC-IV,Prescription Drug,NA,Insulin Dummy Package for Sliding Scale,1970-01-01,2099-12-31,NA
528,2000010189,Ketorolac,Drug,MIMIC-IV,Prescription Drug,NA,Ketorolac 0.4 % Eye Drops,1970-01-01,2099-12-31,NA
531,2000011380,Iso-Osmotic Dextrose 200ml Bag,Drug,MIMIC-IV,Prescription Drug,NA,Iso-Osmotic Dextrose 200ml Bag,1970-01-01,2099-12-31,NA
532,2000011382,Iso-Osmotic Dextrose 50ml Bag,Drug,MIMIC-IV,Prescription Drug,NA,Iso-Osmotic Dextrose 50ml Bag,1970-01-01,2099-12-31,NA
534,2000010892,Bumetanide,Drug,MIMIC-IV,Prescription Drug,NA,Bumetanide 1 Syringe,1970-01-01,2099-12-31,NA
549,2000010603,Fentanyl,Drug,MIMIC-IV,Prescription Drug,NA,Fentanyl Citrate 2500mcg/50mL Vial,1970-01-01,2099-12-31,NA
550,2000010110,Ondansetron,Drug,MIMIC-IV,Prescription Drug,NA,Ondansetron,1970-01-01,2099-12-31,NA
553,2000010041,Metoprolol,Drug,MIMIC-IV,Prescription Drug,NA,Metoprolol,1970-01-01,2099-12-31,NA
557,2000010067,Hydromorphone,Drug,MIMIC-IV,Prescription Drug,NA,HYDROmorphone Solution 20mg/ml,1970-01-01,2099-12-31,NA
561,2000010728,Magnesium Sulfate,Drug,MIMIC-IV,Prescription Drug,NA,Magnesium Sulfate,1970-01-01,2099-12-31,NA
562,2000010698,Lidocaine,Drug,MIMIC-IV,Prescription Drug,NA,"Lidocaine 1%/Epi  1::100,000",1970-01-01,2099-12-31,NA
564,2000010171,Protamine Sulfate (USP),Drug,MIMIC-IV,Prescription Drug,NA,Protamine Sulfate,1970-01-01,2099-12-31,NA
567,2000010533,Lorazepam 0.5 MG Oral Tablet,Drug,MIMIC-IV,Prescription Drug,NA,Lorazepam 0.5mg Tablet,1970-01-01,2099-12-31,NA
570,2000010868,miconazole,Drug,MIMIC-IV,Prescription Drug,NA,Miconazole  200mg/supp,1970-01-01,2099-12-31,NA
577,2000010448,Propofol,Drug,MIMIC-IV,Prescription Drug,NA,Propofol,1970-01-01,2099-12-31,NA
579,2000010743,Prochlorperazine,Drug,MIMIC-IV,Prescription Drug,NA,Prochlorperazine,1970-01-01,2099-12-31,NA
594,2000010857,Midazolam,Drug,MIMIC-IV,Prescription Drug,NA,MIDAZOLAM,1970-01-01,2099-12-31,NA
598,2000010134,Sodium,Drug,MIMIC-IV,Prescription Drug,NA,Sodium Chloride 23.4%;30ML V,1970-01-01,2099-12-31,NA
599,2000010162,heparin,Drug,MIMIC-IV,Prescription Drug,NA,HEPARIN,1970-01-01,2099-12-31,NA
601,2000010398,Lidocaine,Drug,MIMIC-IV,Prescription Drug,NA,"Lidocaine 1%/Epi 1::100,000",1970-01-01,2099-12-31,NA
605,2000010595,Gentamicin,Drug,MIMIC-IV,Prescription Drug,NA,Gentamicin 80mg Premix,1970-01-01,2099-12-31,NA
613,2000010532,Menthol,Drug,MIMIC-IV,Prescription Drug,NA,menthol (Icy Hot Patch) 5%,1970-01-01,2099-12-31,NA
616,2000011364,CefePIME Send Vial,Drug,MIMIC-IV,Prescription Drug,NA,CefePIME Send Vial,1970-01-01,2099-12-31,NA
620,2000011196,Water,Drug,MIMIC-IV,Prescription Drug,NA,Water 500ml,1970-01-01,2099-12-31,NA
629,2000010306,ertapenem,Drug,MIMIC-IV,Prescription Drug,NA,Ertapenem 500 mg,1970-01-01,2099-12-31,NA
632,2000011102,Lidocaine 0.05 MG/MG Medicated Patch [Lidoderm],Drug,MIMIC-IV,Prescription Drug,NA,LIDODERM PATCHES 5% 1,1970-01-01,2099-12-31,NA
633,2000011209,Haloperidol,Drug,MIMIC-IV,Prescription Drug,NA,Haloperidol,1970-01-01,2099-12-31,NA
640,2000010364,Valproate,Drug,MIMIC-IV,Prescription Drug,NA,Valproate Sodium 500MG/5ML VL,1970-01-01,2099-12-31,NA
664,2000011017,Hydromorphone,Drug,MIMIC-IV,Prescription Drug,NA,HYDROmorphone,1970-01-01,2099-12-31,NA
666,2000010755,Sodium,Drug,MIMIC-IV,Prescription Drug,NA,Sodium Citrate 4% 3mL Syringe,1970-01-01,2099-12-31,NA
667,2000011177,Fentanyl,Drug,MIMIC-IV,Prescription Drug,NA,Fentanyl Citrate Dummy Pkg for POE pump and PHA SS ordering,1970-01-01,2099-12-31,NA
673,2000010363,Lidocaine,Drug,MIMIC-IV,Prescription Drug,NA,Lidocaine Jelly 2% (Urojet),1970-01-01,2099-12-31,NA
674,2000010679,Dexamethasone,Drug,MIMIC-IV,Prescription Drug,NA,dexamethasone 0.1%,1970-01-01,2099-12-31,NA
676,2000011134,Meperidine,Drug,MIMIC-IV,Prescription Drug,NA,Meperidine,1970-01-01,2099-12-31,NA
678,2000010500,Norepinephrine,Drug,MIMIC-IV,Prescription Drug,NA,Norepinephrine,1970-01-01,2099-12-31,NA
679,2000011353,Diltiazem,Drug,MIMIC-IV,Prescription Drug,NA,Diltiazem 50MG/10ML VL,1970-01-01,2099-12-31,NA
698,2000010670,Morphine,Drug,MIMIC-IV,Prescription Drug,NA,Morphine Sulfate,1970-01-01,2099-12-31,NA
710,2000010203,Hydrocortisone,Drug,MIMIC-IV,Prescription Drug,NA,Hydrocortisone Na Succ. 100mg/2mL Vial,1970-01-01,2099-12-31,NA
718,2000010815,Erythromycin 0.005 MG/MG Ophthalmic Ointment,Drug,MIMIC-IV,Prescription Drug,NA,ERYTHROMYCIN 0.5% OPHTH OINT,1970-01-01,2099-12-31,NA
734,2000011258,Nitroprusside,Drug,MIMIC-IV,Prescription Drug,NA,Nitroprusside Sodium,1970-01-01,2099-12-31,NA
736,2000011336,Nifedipine,Drug,MIMIC-IV,Prescription Drug,NA,Nifedipine (Bulk) 0.2% gel,1970-01-01,2099-12-31,NA
740,2000010317,heparin,Drug,MIMIC-IV,Prescription Drug,NA,"Heparin Sodium 25,000 unit Premix Bag",1970-01-01,2099-12-31,NA
741,2000011357,Acetaminophen IV 100 mL Bottle,Drug,MIMIC-IV,Prescription Drug,NA,Acetaminophen IV 100 mL Bottle,1970-01-01,2099-12-31,NA
745,2000010859,Sodium Chloride Prefilled Syringe,Drug,MIMIC-IV,Prescription Drug,NA,Sodium Chloride  Syringe,1970-01-01,2099-12-31,NA
757,2000010503,Dopamine,Drug,MIMIC-IV,Prescription Drug,NA,Dopamine HCl 200MG/5ML;VIAL,1970-01-01,2099-12-31,NA
764,2000010853,Hydralazine,Drug,MIMIC-IV,Prescription Drug,NA,HydrALAZINE,1970-01-01,2099-12-31,NA
770,2000010884,levalbuterol,Drug,MIMIC-IV,Prescription Drug,NA,Levalbuterol HCl 1.25 mg,1970-01-01,2099-12-31,NA
779,2000010620,Labetalol,Drug,MIMIC-IV,Prescription Drug,NA,LABETALOL,1970-01-01,2099-12-31,NA
780,2000011329,Gentamicin,Drug,MIMIC-IV,Prescription Drug,NA,Gentamicin 100mg Premix,1970-01-01,2099-12-31,NA
790,2000010520,Sodium,Drug,MIMIC-IV,Prescription Drug,NA,Sodium CITRATE 4% 500 mL Bag,1970-01-01,2099-12-31,NA
794,2000011135,Phenylephrine,Drug,MIMIC-IV,Prescription Drug,NA,Phenylephrine HCl,1970-01-01,2099-12-31,NA
796,2000010288,Hydromorphone,Drug,MIMIC-IV,Prescription Drug,NA,HYDROmorphone (Dilaudid) 20 mg/ mL,1970-01-01,2099-12-31,NA
800,2000011389,Meropenem Send Vial,Drug,MIMIC-IV,Prescription Drug,NA,Meropenem Send Vial,1970-01-01,2099-12-31,NA
806,2000010035,Hydromorphone,Drug,MIMIC-IV,Prescription Drug,NA,HYDROmorphone (Dilaudid),1970-01-01,2099-12-31,NA
813,2000011385,Magnesium Sulfate Replacement (Critical Care and Oncology) 100 mL Bag,Drug,MIMIC-IV,Prescription Drug,NA,Magnesium Sulfate Replacement (Critical Care and Oncology) 100 mL Bag,1970-01-01,2099-12-31,NA
821,2000011392,NS 100ml,Drug,MIMIC-IV,Prescription Drug,NA,NS 100ml,1970-01-01,2099-12-31,NA
824,2000010690,Nitroglycerin,Drug,MIMIC-IV,Prescription Drug,NA,NITROGLYCERIN,1970-01-01,2099-12-31,NA
830,2000010356,Methylprednisolone,Drug,MIMIC-IV,Prescription Drug,NA,Methylprednisolone Na Succ. 1 SYRINGE,1970-01-01,2099-12-31,NA
831,2000010014,Loratadine 10 MG Oral Tablet [Claritin],Drug,MIMIC-IV,Prescription Drug,NA,Claritin 10 mg tablet,1970-01-01,2099-12-31,NA
832,2000010301,Water,Drug,MIMIC-IV,Prescription Drug,NA,Water WATER,1970-01-01,2099-12-31,NA
857,2000011395,Phenylephrine 60mL Syringe,Drug,MIMIC-IV,Prescription Drug,NA,Phenylephrine 60mL Syringe,1970-01-01,2099-12-31,NA
858,2000010309,Morphine,Drug,MIMIC-IV,Prescription Drug,NA,Morphine Sulfate Given in OR,1970-01-01,2099-12-31,NA
886,2000010578,fluticasone,Drug,MIMIC-IV,Prescription Drug,NA,fluticasone 110 mcg/ puff,1970-01-01,2099-12-31,NA
894,2000011391,Nitroglycerin 60mL Syringe,Drug,MIMIC-IV,Prescription Drug,NA,Nitroglycerin 60mL Syringe,1970-01-01,2099-12-31,NA
897,2000011321,Fentanyl,Drug,MIMIC-IV,Prescription Drug,NA,Fentanyl,1970-01-01,2099-12-31,NA
907,2000010534,Acetaminophen,Drug,MIMIC-IV,Prescription Drug,NA,Acetaminophen,1970-01-01,2099-12-31,NA
911,2000010046,Diltiazem,Drug,MIMIC-IV,Prescription Drug,NA,Diltiazem,1970-01-01,2099-12-31,NA
920,2000010206,Rosuvastatin calcium 5 MG Oral Tablet [Crestor],Drug,MIMIC-IV,Prescription Drug,NA,Rosuvastatin (Crestor) 5mg tablet,1970-01-01,2099-12-31,NA
932,2000010700,Ipratropium,Drug,MIMIC-IV,Prescription Drug,NA,Ipratropium Bromide HFA,1970-01-01,2099-12-31,NA
941,2000010049,Dopamine,Drug,MIMIC-IV,Prescription Drug,NA,DOPamine,1970-01-01,2099-12-31,NA
956,2000010879,Potassium,Drug,MIMIC-IV,Prescription Drug,NA,Potassium Chloride 20mEq/50ml Premix,1970-01-01,2099-12-31,NA
959,2000010694,Bupivacaine,Drug,MIMIC-IV,Prescription Drug,NA,Bupivacaine 0.2% 250 mL CADD Med Cassette,1970-01-01,2099-12-31,NA
961,2000010839,Bupivacaine,Drug,MIMIC-IV,Prescription Drug,NA,Bupivacaine 0.1% 250 mL Yellow Med Cassette,1970-01-01,2099-12-31,NA
975,2000010685,Baclofen,Drug,MIMIC-IV,Prescription Drug,NA,Baclofen 4000 mcg/mL Intrathecal,1970-01-01,2099-12-31,NA
978,2000010633,Dexamethasone,Drug,MIMIC-IV,Prescription Drug,NA,Dexamethasone,1970-01-01,2099-12-31,NA
998,2000011394,PHENYLEPHrine 20mL Syringe,Drug,MIMIC-IV,Prescription Drug,NA,PHENYLEPHrine 20mL Syringe,1970-01-01,2099-12-31,NA
1001,2000011059,Fentanyl,Drug,MIMIC-IV,Prescription Drug,NA,Fentanyl Citrate 500mcg/10mL Amp,1970-01-01,2099-12-31,NA
1005,2000011143,Lidocaine,Drug,MIMIC-IV,Prescription Drug,NA,Lidocaine Viscous 2% 120ml Bottle,1970-01-01,2099-12-31,NA
1006,2000011379,Iso-Osmotic Dextrose 100ml Bag,Drug,MIMIC-IV,Prescription Drug,NA,Iso-Osmotic Dextrose 100ml Bag,1970-01-01,2099-12-31,NA
1015,2000010169,Ketamine,Drug,MIMIC-IV,Prescription Drug,NA,Ketamine Study Drug (*IND*) Study Drug,1970-01-01,2099-12-31,NA
1017,2000010355,Haloperidol,Drug,MIMIC-IV,Prescription Drug,NA,HALOPERIDOL,1970-01-01,2099-12-31,NA
1021,2000010348,Vancomycin,Drug,MIMIC-IV,Prescription Drug,NA,vancoMYCIN for inhalation 200 mg / 2 mL,1970-01-01,2099-12-31,NA
1031,2000010984,Bupivacaine,Drug,MIMIC-IV,Prescription Drug,NA,Bupivacaine 0.1%,1970-01-01,2099-12-31,NA
1032,2000010388,Fentanyl,Drug,MIMIC-IV,Prescription Drug,NA,Fentanyl Citrate,1970-01-01,2099-12-31,NA
1034,2000010514,Bupivacaine,Drug,MIMIC-IV,Prescription Drug,NA,Bupivacaine 0.05% 250 mL CADD Med Cassette,1970-01-01,2099-12-31,NA
1042,2000011366,CefTRIAXone Send Vial,Drug,MIMIC-IV,Prescription Drug,NA,CefTRIAXone Send Vial,1970-01-01,2099-12-31,NA
1049,2000010022,Lorazepam,Drug,MIMIC-IV,Prescription Drug,NA,Lorazepam,1970-01-01,2099-12-31,NA
1061,2000010427,Simethicone,Drug,MIMIC-IV,Prescription Drug,NA,SIMETHICONE SIMETHICONE,1970-01-01,2099-12-31,NA
1065,2000011363,Calcium Gluconate sliding scale (Critical Care-Ionized calcium) Send Vial,Drug,MIMIC-IV,Prescription Drug,NA,Calcium Gluconate sliding scale (Critical Care-Ionized calcium) Send Vial,1970-01-01,2099-12-31,NA
1071,2000010436,Dopamine,Drug,MIMIC-IV,Prescription Drug,NA,DopAmine 400MG PREMIX,1970-01-01,2099-12-31,NA
1075,2000010559,Levofloxacin,Drug,MIMIC-IV,Prescription Drug,NA,Levofloxacin 250MG PM BAG,1970-01-01,2099-12-31,NA
1077,2000011264,Epinephrine,Drug,MIMIC-IV,Prescription Drug,NA,EPINEPHRINE,1970-01-01,2099-12-31,NA
1080,2000011397,Sterile Water 50 mL Bag,Drug,MIMIC-IV,Prescription Drug,NA,Sterile Water 50 mL Bag,1970-01-01,2099-12-31,NA
1084,2000010675,Omeprazole,Drug,MIMIC-IV,Prescription Drug,NA,Omeprazole CAP,1970-01-01,2099-12-31,NA
1087,2000010020,Vancomycin,Drug,MIMIC-IV,Prescription Drug,NA,Vancomycin HCl 1GM FROZ. BAG,1970-01-01,2099-12-31,NA
1101,2000010779,Levalbuterol,Drug,MIMIC-IV,Prescription Drug,NA,Levalbuterol (Xopenex) 1.25mg/3ml,1970-01-01,2099-12-31,NA
